creator_id,name,slug,games_count
31,Gabe Newell,gabe-newell,24
37,Marc Laidlaw,marc-laidlaw,15
63,Robin Walker,robin-walker,14
70,Cris Velasco,cris-velasco,57
3,Dan Houser,dan-houser,30
27630,David Speyrer,david-speyrer,12
72,Jesper Kyd,jesper-kyd,49
3559,Eric Smith,eric-smith,20
135,Inon Zur,inon-zur,73
28,Mike Morasky,mike-morasky,15
26,Erik Wolpaw,erik-wolpaw,13
42,Erik Johnson,erik-johnson,11
3272,Dario Casali,dario-casali-the-plutonia-experiment,11
27,Joshua Weier,joshua-weier,15
1964,Chris Green,chris-green,15
19735,Jay Stelly,jay-stelly,11
29,Randy Lundeen,randy-lundeen,10
44,Tim Larkin,tim-larkin,14
13528,Jeep Barnett,jeep-barnett,12
25,Chet Faliszek,chet-faliszek,10
13530,Garret Rickey,garret-rickey,10
13527,Dave Kircher,dave-kircher,10
4189,Jim Hughes,jim-hughes,15
69,Sascha Dikiciyan,sonic-mayhem,46
88,Jason Graves,jason-graves,60
18484,Tristan Reidford,tristan-reidford,9
3156,Jim Dose,jim-dose,41
18119,Matt Scott,matt-scott,14
341,Jess Cliffe,jess-cliffe,9
38,Kelly Bailey,kelly-bailey,10
8,Aaron Garbut,aaron-garbut,15
47,Jeremy Soule,jeremy-soule,66
4000,Rick Johnson,rick-johnson,24
9,Leslie Benzies,leslie-benzies,17
2504,Kevin Cloud,kevin-cloud,39
2492,Brandon Reinhart,brandon-reinhart,9
6046,Darin McNeil,darin-mcneil,16
46,Todd Howard,todd-howard,23
1191,Tim Willits,tim-willits,34
24,Jay Pinkerton,jay-pinkerton,7
11,Adam Fowler,adam-fowler,14
3836,Brian Raffel,brian-raffel,34
5402,Steven Maines,steven-maines,39
12868,Ste Cork,ste-cork,27
2510,Robert A. Duffy,robert-a-duffy,27
3101,Todd Vaughn,todd-vaughn,14
3835,Eric C. Biessman,eric-biessman,27
45,Emil Pagliarulo,emil-pagliarulo,16
149,Mick Gordon,mick-gordon,18
17,Marcin Przybyłowicz,marcin-przybylowicz,14
35,Garry Schyman,garry-schyman,15
140,Jared Emerson-Johnson,jared-emerson-johnson,32
1309,John Carmack,john-carmack,86
17271,Matt Charlesworth,matt-charlesworth,7
53,Guy Carver,guy-carver,11
8912,Michael Abrash,michael-abrash,18
22699,Viktor Antonov,viktor-antonov,14
30,Jeremy Bennett,jeremy-bennett,4
80,Adam Skorupa,adam-skorupa,15
2,Rupert Humphries,rupert-humphries,9
1395,Chris Carollo,chris-carollo,7
76,Randy Pitchford,randy-pitchford,24
12,Marcin Blacha,marcin-blacha,9
1992,Robert Prince,robert-prince,63
1138,Chris Avellone,chris-avellone,22
7798,Marty Stratton,marty-stratton,26
78,Adam Badowski,adam-badowski,7
6902,Robert Love,robert-love,24
84,Rhianna Pratchett,rhianna-pratchett,12
248,Peter McConnell,peter-mcconnell,33
13453,Brett English,brett-english,5
13457,"Pongthep ""Bank"" Charnchaichujit",pongthep-bank-charnchaichujit,5
13455,Tejeev Kohli,tejeev-kohli,5
250,Erik Robson,erik-robson,5
1913,John Roberts,john-roberts,18
1095,Shinji Mikami,shinji-mikami,38
1,Michael Unsworth,michael-unsworth,7
52,Bruce Nesmith,bruce-nesmith,6
247,Tim Schafer,tim-schafer,31
5396,James Monroe,james-monroe,25
3311,Dan Vondrak,dan-vondrak,16
25417,Jonathan Coulton,jonathan-coulton,5
32,Michael Booth,michael-booth,3
16876,Dwight Luetscher,dwight-luetscher,15
1623,George Broussard,george-broussard,47
14488,Steve Raffel,steve-raffel,26
1283,Travis Stout,travis-stout,13
62,Kim Swift,kim-swift,9
13741,Paul Allen Edelstein,paul-allen-edelstein,19
10886,Jon Zuk,jon-zuk,18
14,Konrad Tomaszkiewicz,konrad-tomaszkiewicz,6
79,Krzysztof Wierzynkiewicz,krzysztof-wierzynkiewicz,9
22026,Marc Behm,marc-behm,5
10887,Matt Pinkston,matt-pinkston,21
25258,Matthew Nelson,matthew-nelson,10
536,Ed Boon,ed-boon,31
1329,Motoi Sakuraba,motoi-sakuraba,102
6716,Shigeru Miyamoto,shigeru-miyamoto,154
762,Hidetaka Miyazaki,hidetaka-miyazaki,19
628,David Mertz,david-mertz,11
21676,Jason O'Connell,jason-oconnell,10
89,Brian Horton,brian-horton,12
1640,Hiroyuki Kobayashi,hiroyuki-kobayashi,26
10316,Christopher Foster,christopher-foster,18
2883,Yoji Shinkawa,yoji-shinkawa,22
370,Timothy Bell,timothy-bell,11
4,Woody Jackson,woody-jackson,6
979,Markus Buretorp,markus-buretorp,5
22921,Max Aristov,max-aristov,6
123,Sam Lake,sam-lake,12
16,Mateusz Kanik,mateusz-kanik,4
1942,Doug Church,doug-church,9
15,Sebastian Stępień,sebastian-stepien,6
2884,Hideo Kojima,hideo-kojima,43
998,Neil Druckmann,neil-druckmann,12
27049,Stuart Wiegert,stuart-wiegert,16
3982,Billy Ethan Khan,billy-ethan-khan,11
765,Yuka Kitamura,yuka-kitamura,16
121,Obbe Vermeij,obbe-vermeij,8
595,Brian Martel,brian-martel,20
188,Jack Wall,jack-wall,25
7800,Joe Koberstein,joe-koberstein,15
482,Daniel Bailie,daniel-bailie,7
27059,Michael Gummelt,michael-gummelt,19
4065,Magnus Auvinen,magnus-auvinen,7
199,Andrew Prokhorov,andrew-prokhorov,5
197,Dmitry Glukhovsky,dmitry-glukhovsky,5
2551,John Romero,john-romero,75
4190,Kevin Long,kevin-long,16
3081,Vince Zampella,vince-zampella,9
68,Raison Varner,raison-varner,8
201,Alexey Omelchuk,alexey-omelchuk,5
1000,Bruce Straley,bruce-straley,18
2888,Kenichiro Imaizumi,kenichiro-imaizumi,10
1812,Rik Schaffer,rik-schaffer,17
18040,Paul Edelstein,paul-edelstein,15
27058,Jarrod Showers,jarrod-showers,16
27075,"Ovidiu ""Pirtylo"" Vladu",ovidiu-costin-catalin-vladu,32
10,Imran Sarwar,imran-sarwar,4
4399,Patrick Hook,patrick-hook,14
4188,Jeffrey Newquist,jeffrey-newquist,12
983,Erick Pangilinan,erick-pangilinan,14
99,Michael McCann,michael-mccann,9
