tag_id,name,slug,language,games_count
31,Singleplayer,singleplayer,eng,251043
40847,Steam Achievements,steam-achievements,eng,51829
7,Multiplayer,multiplayer,eng,42595
40836,Full controller support,full-controller-support,eng,24189
13,Atmospheric,atmospheric,eng,39763
42,Great Soundtrack,great-soundtrack,eng,3450
24,RPG,rpg,eng,26678
18,Co-op,co-op,eng,14419
36,Open World,open-world,eng,9281
411,cooperative,cooperative,eng,6602
8,First-Person,first-person,eng,37443
149,Third Person,third-person,eng,14733
4,Funny,funny,eng,28869
37,Sandbox,sandbox,eng,8523
123,Comedy,comedy,eng,14881
150,Third-Person Shooter,third-person-shooter,eng,4169
62,Moddable,moddable,eng,1139
144,Crime,crime,eng,3275
62349,vr mod,vr-mod,eng,17
118,Story Rich,story-rich,eng,27295
64,Fantasy,fantasy,eng,33004
97,Action RPG,action-rpg,eng,8703
41,Dark,dark,eng,18740
44,Nudity,nudity,eng,8850
336,controller support,controller-support,eng,293
145,Choices Matter,choices-matter,eng,8385
40,Dark Fantasy,dark-fantasy,eng,5693
192,Mature,mature,eng,4784
66,Medieval,medieval,eng,8093
82,Magic,magic,eng,11365
218,Multiple Endings,multiple-endings,eng,11584
40849,Steam Cloud,steam-cloud,eng,25798
7808,steam-trading-cards,steam-trading-cards,eng,7568
32,Sci-fi,sci-fi,eng,22083
30,FPS,fps,eng,15004
9,Online Co-Op,online-co-op,eng,7704
189,Female Protagonist,female-protagonist,eng,15568
75,Local Co-Op,local-co-op,eng,6084
11669,stats,stats,eng,6047
40852,Steam Workshop,steam-workshop,eng,1772
25,Space,space,eng,44248
40838,Includes level editor,includes-level-editor,eng,2220
40833,Captions available,captions-available,eng,1486
40834,Commentary available,commentary-available,eng,299
87,Science,science,eng,2012
80,Tactical,tactical,eng,6630
157,PvP,pvp,eng,12079
70,War,war,eng,10107
40837,In-App Purchases,in-app-purchases,eng,3427
77,Realistic,realistic,eng,9173
11,Team-Based,team-based,eng,2078
131,Fast-Paced,fast-paced,eng,10824
81,Military,military,eng,2529
170,Competitive,competitive,eng,1314
40856,Valve Anti-Cheat enabled,valve-anti-cheat-enabled,eng,105
73,e-sports,e-sports,eng,80
245,Trading,trading,eng,1494
6,Exploration,exploration,eng,29298
193,Classic,classic,eng,1839
15,Stealth,stealth,eng,7172
69,Action-Adventure,action-adventure,eng,21061
74,Retro,retro,eng,44679
110,Cinematic,cinematic,eng,3389
269,Quick-Time Events,quick-time-events,eng,935
126,Dinosaurs,dinosaurs,eng,1827
306,Lara Croft,lara-croft,eng,14
40845,Partial Controller Support,partial-controller-support,eng,14004
111,Short,short,eng,58222
114,Physics,physics,eng,21602
148,Dark Humor,dark-humor,eng,3778
40839,Includes Source SDK,includes-source-sdk,eng,66
16,Horror,horror,eng,49213
26,Gore,gore,eng,6682
1,Survival,survival,eng,10856
63,Zombies,zombies,eng,11217
17,Survival Horror,survival-horror,eng,9984
43,Post-apocalyptic,post-apocalyptic,eng,4949
5,Replay Value,replay-value,eng,2265
34,Violent,violent,eng,7863
89,Historical,historical,eng,3992
45878,Online PvP,online-pvp,eng,6431
478,3rd-Person Perspective,3rd-person-perspective,eng,87
270,Blood,blood,eng,2158
78,America,america,eng,976
578,Masterpiece,masterpiece,eng,302
577,Beautiful,beautiful,eng,1875
181,Hunting,hunting,eng,1094
152,Western,western,eng,1431
5452,3rd-person,3rd-person,eng,93
468,role-playing,role-playing,eng,1657
121,Character Customization,character-customization,eng,6656
205,Lore-Rich,lore-rich,eng,2227
215,Dragons,dragons,eng,2882
172,Aliens,aliens,eng,7540
119,Dystopian,dystopian,eng,2704
319,Silent Protagonist,silent-protagonist,eng,111
115,Controller,controller,eng,15059
305,Linear,linear,eng,9766
154,Steampunk,steampunk,eng,1348
208,Alternate History,alternate-history,eng,2210
317,Time Travel,time-travel,eng,1992
287,Political,political,eng,757
167,Futuristic,futuristic,eng,6931
120,Memes,memes,eng,2189
166,Stylized,stylized,eng,10270
98,Loot,loot,eng,2895
141,Point & Click,point-click,eng,15546
117,Mystery,mystery,eng,16498
91,Walking Simulator,walking-simulator,eng,8976
406,Story,story,eng,11569
232,Episodic,episodic,eng,522
295,Soundtrack,soundtrack,eng,3314
302,Time Manipulation,time-manipulation,eng,766
992,student,student,eng,1533
2682,strange,strange,eng,332
3197,photography,photography,eng,205
250,Underwater,underwater,eng,2297
68,Hack and Slash,hack-and-slash,eng,5359
37796,exclusive,exclusive,eng,4491
571,3D,3d,eng,93864
125,Crafting,crafting,eng,5538
1465,combat,combat,eng,16437
37797,true exclusive,true-exclusive,eng,3981
171,PvE,pve,eng,8013
572,Emotional,emotional,eng,4566
580,Souls-like,souls-like,eng,1874
108,Mythology,mythology,eng,2528
43374,Remote Play on TV,remote-play-on-tv,eng,658
79,Free to Play,free-to-play,eng,9897
397,Online multiplayer,online-multiplayer,eng,3804
413,online,online,eng,6552
158,MMORPG,mmorpg,eng,1646
2030,city,city,eng,9291
5816,console,console,eng,1390
744,friends,friends,eng,15191
3109,weapons,weapons,eng,2317
1484,skill,skill,eng,3535
3046,destroy,destroy,eng,4619
1743,collect,collect,eng,8081
2184,hunt,hunt,eng,2356
754,gun,gun,eng,3219
1527,rain,rain,eng,869
18426,enemy,enemy,eng,2589
691,quick,quick,eng,931
2863,darkness,darkness,eng,488
6580,defender,defender,eng,182
45,2D,2d,eng,207861
49,Difficult,difficult,eng,14317
122,Pixel Graphics,pixel-graphics,eng,99378
113,Side Scroller,side-scroller,eng,11856
46,Surreal,surreal,eng,6654
83,Puzzle-Platformer,puzzle-platformer,eng,9499
91686,Family Sharing,family-sharing,eng,29105
112,Minimalist,minimalist,eng,17433
289,Noir,noir,eng,1677
135,2D Fighter,2d-fighter,eng,1679
49959,2D Platformer,2d-platformer-3,eng,9447
49995,2D-платформер,2d-platformer-4,eng,9401
56825,2D-файтинг,2d-faiting,eng,1455
216,Heist,heist,eng,603
274,Gun Customization,gun-customization,eng,842
40832,Cross-Platform Multiplayer,cross-platform-multiplayer,eng,3167
